Date,Year,Month,Day,Time,V1,V2,V3,A1,A2,A3,A_Average,PF1,PF2,PF3,PF_Average
1398/03/31 16:13:57,1398,03,31,16:13:57,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:59,1398,03,31,16:13:59,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:00,1398,03,31,16:14:00,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:01,1398,03,31,16:14:01,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:03,1398,03,31,16:14:03,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:04,1398,03,31,16:14:04,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:05,1398,03,31,16:14:05,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:07,1398,03,31,16:14:07,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:08,1398,03,31,16:14:08,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:11,1398,03,31,16:14:11,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:13,1398,03,31,16:14:13,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:14,1398,03,31,16:14:14,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:16,1398,03,31,16:14:16,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:17,1398,03,31,16:14:17,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:18,1398,03,31,16:14:18,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:20,1398,03,31,16:14:20,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:21,1398,03,31,16:14:21,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:23,1398,03,31,16:14:23,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:24,1398,03,31,16:14:24,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:25,1398,03,31,16:14:25,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:27,1398,03,31,16:14:27,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:28,1398,03,31,16:14:28,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:30,1398,03,31,16:14:30,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:31,1398,03,31,16:14:31,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:32,1398,03,31,16:14:32,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:34,1398,03,31,16:14:34,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:35,1398,03,31,16:14:35,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:36,1398,03,31,16:14:36,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:40,1398,03,31,16:14:40,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:41,1398,03,31,16:14:41,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:43,1398,03,31,16:14:43,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:44,1398,03,31,16:14:44,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:45,1398,03,31,16:14:45,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:47,1398,03,31,16:14:47,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:48,1398,03,31,16:14:48,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:49,1398,03,31,16:14:49,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:51,1398,03,31,16:14:51,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:52,1398,03,31,16:14:52,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:54,1398,03,31,16:14:54,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:55,1398,03,31,16:14:55,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:56,1398,03,31,16:14:56,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:14:58,1398,03,31,16:14:58,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:15:02,1398,03,31,16:15:02,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:15:03,1398,03,31,16:15:03,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:29:09,1398,03,31,16:29:09,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:10,1398,03,31,16:29:10,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:12,1398,03,31,16:29:12,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:13,1398,03,31,16:29:13,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:14,1398,03,31,16:29:14,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:16,1398,03,31,16:29:16,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:17,1398,03,31,16:29:17,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:19,1398,03,31,16:29:19,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:21,1398,03,31,16:29:21,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:22,1398,03,31,16:29:22,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:23,1398,03,31,16:29:23,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:25,1398,03,31,16:29:25,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:26,1398,03,31,16:29:26,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:28,1398,03,31,16:29:28,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:29,1398,03,31,16:29:29,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:29:30,1398,03,31,16:29:30,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 17:02:45,1398,03,31,17:02:45,70.11,68.05,138.24,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:04:14,1398,03,31,17:04:14,69.93,67.82,137.72,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:04:37,1398,03,31,17:04:37,70,67.94,137.96,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:05:01,1398,03,31,17:05:01,70.12,68.05,138.18,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:05:24,1398,03,31,17:05:24,69.99,67.93,137.9,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:05:48,1398,03,31,17:05:48,70.05,67.96,138.02,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:06:12,1398,03,31,17:06:12,70.07,68.01,138.08,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:06:35,1398,03,31,17:06:35,70.12,68.04,138.13,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:06:58,1398,03,31,17:06:58,70.07,68.01,138.11,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:07:22,1398,03,31,17:07:22,70.05,68,138.02,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:07:45,1398,03,31,17:07:45,69.97,67.9,137.8,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:08:18,1398,03,31,17:08:18,223.69,153.7,85.76,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:08:42,1398,03,31,17:08:42,223.52,153.54,85.72,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:09:05,1398,03,31,17:09:05,223.51,153.51,85.65,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:09:29,1398,03,31,17:09:29,223.74,153.67,85.76,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:09:52,1398,03,31,17:09:52,223.71,153.65,85.76,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:10:16,1398,03,31,17:10:16,223.79,153.74,85.79,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:10:39,1398,03,31,17:10:39,223.94,153.85,85.86,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:11:03,1398,03,31,17:11:03,223.23,153.37,85.57,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:11:26,1398,03,31,17:11:26,223.37,153.41,85.55,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:11:49,1398,03,31,17:11:49,223.58,153.65,85.75,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:14:00,1398,03,31,17:14:00,223.36,153.41,85.62,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:14:33,1398,03,31,17:14:33,223.43,153.48,85.67,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:14:56,1398,03,31,17:14:56,223.16,153.32,85.55,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 17:15:20,1398,03,31,17:15:20,222.61,152.87,85.34,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 22:48:58,1398,03,31,22:48:58,225.07,154.65,86.3,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 22:49:21,1398,03,31,22:49:21,224.93,154.56,86.27,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 23:11:43,1398,03,31,23:11:43,225.31,154.82,86.4,0,0,0,0,NaN,NaN,NaN,undefined
1398/03/31 23:12:06,1398,03,31,23:12:06,225.36,154.73,86.34,0,0,0,0,NaN,NaN,NaN,undefined
